"","TaxonID","class","scientificName","documentType","urls"
"106",4511,"Bivalvia","Elliptio lanceolata","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Yellow Lance_draft Recovery Plan 2022 09 15_1.pdf"
"107",4511,"Bivalvia","Elliptio lanceolata","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Final yellow lance recovery outline 2018.pdf"
"108",4511,"Bivalvia","Elliptio lanceolata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/7404.pdf"
"109",4511,"Bivalvia","Elliptio lanceolata","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/86/18189?link-type=pdf"
"110",6920,"Bivalvia","Elliptio spinosa","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/201636"
"111",6920,"Bivalvia","Elliptio spinosa","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/079680 202300907_Altamaha_spinymussel_recovery_plan_.pdf"
"112",6920,"Bivalvia","Elliptio spinosa","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2738.pdf"
"113",6920,"Bivalvia","Elliptio spinosa","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/76/62928?link-type=pdf"
"114",9041,"Bivalvia","Lampsilis bracteata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/203711"
"115",9041,"Bivalvia","Lampsilis bracteata","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/86/47916?link-type=pdf"
"116",916,"Bivalvia","Lampsilis virescens","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/850702.pdf"
"117",916,"Bivalvia","Lampsilis virescens","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3023.pdf"
"118",916,"Bivalvia","Lampsilis virescens","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1941.pdf"
"119",7869,"Bivalvia","Lampsilis streckeri","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Speckled Pocketbook (Lampsilis streckeri) Recovery Plan Amendment.pdf"
"120",7869,"Bivalvia","Lampsilis streckeri","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/920102.pdf"
"121",7869,"Bivalvia","Lampsilis streckeri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3542.pdf"
"122",7869,"Bivalvia","Lampsilis streckeri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2249.pdf"
"123",7869,"Bivalvia","Lampsilis streckeri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1036.pdf"
"124",7829,"Bivalvia","Lampsilis abrupta","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/pink mucket rp.pdf"
"125",7829,"Bivalvia","Lampsilis abrupta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2737.pdf"
"126",7829,"Bivalvia","Lampsilis abrupta","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3381.pdf"
"127",5428,"Bivalvia","Lampsilis higginsii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/040714.pdf"
"128",5428,"Bivalvia","Lampsilis higginsii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3069.pdf"
"129",5428,"Bivalvia","Lampsilis higginsii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1005.pdf"
"130",2213,"Bivalvia","Lampsilis powellii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/920210.pdf"
"131",2213,"Bivalvia","Lampsilis powellii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2966.pdf"
"132",2213,"Bivalvia","Lampsilis powellii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2143.pdf"
"133",3788,"Bivalvia","Lampsilis rafinesqueana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Neosho Mucket Recovery Plan.pdf"
"134",3788,"Bivalvia","Lampsilis rafinesqueana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2967.pdf"
"135",3788,"Bivalvia","Lampsilis rafinesqueana","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/80/24692?link-type=pdf"
"136",2574,"Bivalvia","Amblema neislerii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Fat Theeridge Recovery Plan Amendment.pdf"
"137",2574,"Bivalvia","Amblema neislerii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/030930.pdf"
"138",2574,"Bivalvia","Amblema neislerii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1070.pdf"
"139",2574,"Bivalvia","Amblema neislerii","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/72/64286?link-type=pdf"
