,t1_f1,t2_f1,t3_f1,t4_f1,t5_f1,t6_f1,t7_f1,t8_f1,t9_f1,t10_f1,t11_f1,t12_f1,t13_f1
697,0.6153846153846154,0.6666666666666666,0.7272727272727273,0.0,0.75,0.4,0.5,0.6666666666666666,0.75,0.0,0.75,0.5454545454545454,0.0
698,0.5,0.6666666666666666,0.5714285714285714,0.4,0.6666666666666666,0.5,0.6153846153846154,0.8235294117647058,0.8421052631578947,0.0,0.6666666666666666,0.8333333333333334,0.5
699,0.5714285714285714,0.4,0.6666666666666666,0.3333333333333333,0.5714285714285714,1.0,0.5714285714285714,0.6666666666666666,0.75,0.0,0.7777777777777778,0.8,0.0
700,0.5714285714285714,0.6,0.25,0.5,0.5,0.75,0.7692307692307693,0.7142857142857143,0.7142857142857143,0.0,0.7777777777777778,0.7142857142857143,0.0
701,0.8571428571428571,0.46153846153846156,0.8,0.6,0.5,0.8571428571428571,0.6666666666666666,0.8,0.7058823529411765,0.0,0.8,0.46153846153846156,0.0
702,0.5454545454545454,0.6666666666666666,0.75,0.0,0.3333333333333333,0.5,0.8,0.875,0.7058823529411765,0.0,0.8235294117647058,0.625,0.0
703,0.6666666666666666,0.5,0.75,0.36363636363636365,0.4,0.5,0.5,0.75,0.5714285714285714,0.0,0.75,0.8571428571428571,0.0
704,0.5714285714285714,0.8888888888888888,0.8,0.0,0.0,0.3333333333333333,0.4,0.6153846153846154,0.7777777777777778,0.0,0.8888888888888888,0.7272727272727273,0.0
705,0.8,0.4444444444444444,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.5,0.6153846153846154,0.5714285714285714,0.0,0.8,0.6666666666666666,0.0
706,0.5714285714285714,0.5,0.7272727272727273,0.0,1.0,0.5,0.7142857142857143,0.6153846153846154,0.75,0.0,0.8571428571428571,0.8571428571428571,0.0
707,0.5333333333333333,0.5714285714285714,0.8888888888888888,0.0,0.2857142857142857,0.4,0.7272727272727273,0.75,0.42857142857142855,0.0,0.7692307692307693,0.9333333333333333,0.0
